,monitor_id,label,location,latitude,longitude,code,serial_number,last_calibrated,monitor_type_id,latest_reading_id,monitor_type,latest_reading,latest_averages,num_readings,current_rating,air_reading_id,project_id,recorded_at,pm10,pm2_5,no2,o3,so2,co,date,time,secs_since,time_since,status
0,1996,Station 54,Carlow Town,52.839751,-6.931922,EPA-54,EPA-54,0000-00-00,23,330241837.0,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330241837, 'monitor_id': 1996, 'project_id': 2399, 'recorded_at': '2022-03-15 14:30:00', 'pm10': 7.901, 'pm2_5': 4.31, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '14:30', 'secs_since': 1779, 'time_since': '29 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 14.1, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'pm2_5': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 8.2, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}}",65810,1,330241837.0,2399.0,2022-03-15 14:30:00,7.901,4.31,,,,,15-03-2022,14:30,1779.0,29 mins,green
1,2245,Station 78,Cavan Town,53.99356,-7.3628,EPA-78,EPA-78,0000-00-00,23,330237603.0,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330237603, 'monitor_id': 2245, 'project_id': 2399, 'recorded_at': '2022-03-15 14:00:00', 'pm10': 7.611, 'pm2_5': 3.871, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '14:00', 'secs_since': 3579, 'time_since': '59 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 11.94, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'pm2_5': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 7.54, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}}",54886,1,330237603.0,2399.0,2022-03-15 14:00:00,7.611,3.871,,,,,15-03-2022,14:00,3579.0,59 mins,green
2,1973,Station 25,"Ennis, Co. Clare",52.843206,-8.989332,EPA-25,EPA-25,0000-00-00,25,330246166.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330246166, 'monitor_id': 1973, 'project_id': 2399, 'recorded_at': '2022-03-15 13:30:00', 'pm10': 10.3273, 'pm2_5': 6.8291, 'no2': None, 'o3': None, 'so2': 5.5465, 'co': None, 'date': '15-03-2022', 'time': '13:30', 'secs_since': 5379, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-14 13:01:00', 'end': '2022-03-15 13:00:00', 'value': 34.48, 'num_readings': 96, 'percentage_capture': 100, 'rating': 3}, 'pm2_5': {'start': '2022-03-14 13:01:00', 'end': '2022-03-15 13:00:00', 'value': 28.74, 'num_readings': 96, 'percentage_capture': 100, 'rating': 3}, 'so2': {'start': '2022-03-15 12:01:00', 'end': '2022-03-15 13:00:00', 'value': 5.55, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",61544,3,330246166.0,2399.0,2022-03-15 13:30:00,10.3273,6.8291,,,5.5465,,15-03-2022,13:30,5379.0,1 hour,green
3,2082,TNO3947,"Ennistymon, Co. Clare",52.9404719,-9.2944376,TNO3947,TNO3947,0000-00-00,19,330247560.0,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 330247560, 'monitor_id': 2082, 'project_id': 2497, 'recorded_at': '2022-03-15 14:45:00', 'pm10': 12.5, 'pm2_5': 9.18, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '14:45', 'secs_since': 879, 'time_since': '14 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 12.98, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}, 'pm2_5': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 9.58, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}}",75714,1,330247560.0,2497.0,2022-03-15 14:45:00,12.5,9.18,,,,,15-03-2022,14:45,879.0,14 mins,green
4,2002,Station 60,"Cobh Carrignafoy, Co. Cork",51.855057,-8.287827,EPA-60,EPA-60,0000-00-00,23,330237546.0,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330237546, 'monitor_id': 2002, 'project_id': 2399, 'recorded_at': '2022-03-15 13:00:00', 'pm10': 9.3159, 'pm2_5': 3.8543000000000003, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '13:00', 'secs_since': 7179, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-14 13:01:00', 'end': '2022-03-15 13:00:00', 'value': 14.77, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'pm2_5': {'start': '2022-03-14 13:01:00', 'end': '2022-03-15 13:00:00', 'value': 7.73, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}}",65850,1,330237546.0,2399.0,2022-03-15 13:00:00,9.3159,3.8543000000000003,,,,,15-03-2022,13:00,7179.0,1 hour,green
5,1978,Station 30 (Ozone Instrument Issue),Munster Technological University,51.88411,-8.533192,EPA-30,EPA-30,0000-00-00,25,330237474.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330237474, 'monitor_id': 1978, 'project_id': 2399, 'recorded_at': '2022-03-15 14:00:00', 'pm10': None, 'pm2_5': None, 'no2': None, 'o3': None, 'so2': 3.1931, 'co': None, 'date': '15-03-2022', 'time': '14:00', 'secs_since': 3579, 'time_since': '59 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 19.87, 'num_readings': 23, 'percentage_capture': 23, 'rating': 0}, 'so2': {'start': '2022-03-15 13:01:00', 'end': '2022-03-15 14:00:00', 'value': 3.19, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",62145,2,330237474.0,2399.0,2022-03-15 14:00:00,,,,,3.1931,,15-03-2022,14:00,3579.0,59 mins,green
6,2014,Station 72,Cork Harbour,51.849479,-8.297432,EPA-72,EPA-72,0000-00-00,25,330237584.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330237584, 'monitor_id': 2014, 'project_id': 2399, 'recorded_at': '2022-03-15 14:00:00', 'pm10': 5.2686, 'pm2_5': None, 'no2': None, 'o3': None, 'so2': 14.9957, 'co': None, 'date': '15-03-2022', 'time': '14:00', 'secs_since': 3579, 'time_since': '59 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 0.5700000000000001, 'num_readings': 4, 'percentage_capture': 4, 'rating': 0}, 'so2': {'start': '2022-03-15 13:01:00', 'end': '2022-03-15 14:00:00', 'value': 14.95, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",65813,1,330237584.0,2399.0,2022-03-15 14:00:00,5.2686,,,,14.9957,,15-03-2022,14:00,3579.0,59 mins,green
7,3786,Station 104,Cork Lower Glanmire Road,51.902915,-8.444393,EPA-104,EPA-104,0000-00-00,25,330237640.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330237640, 'monitor_id': 3786, 'project_id': 2399, 'recorded_at': '2022-03-15 14:00:00', 'pm10': None, 'pm2_5': None, 'no2': 37.9716, 'o3': 69.3572, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '14:00', 'secs_since': 3579, 'time_since': '59 mins', 'status': 'green'}","{'o3': {'start': '2022-03-15 06:01:00', 'end': '2022-03-15 14:00:00', 'value': 35.64, 'num_readings': 32, 'percentage_capture': 100, 'rating': 2}, 'no2': {'start': '2022-03-15 13:01:00', 'end': '2022-03-15 14:00:00', 'value': 48.36, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",3160,1,330237640.0,2399.0,2022-03-15 14:00:00,,,37.9716,69.3572,,,15-03-2022,14:00,3579.0,59 mins,green
8,1963,Station 10,"Heatherton Park, Cork",51.881867,-8.457129,EPA-10,EPA-10,0000-00-00,23,329066696.0,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 329066696, 'monitor_id': 1963, 'project_id': 2399, 'recorded_at': '2022-03-12 11:30:00', 'pm10': 12.61, 'pm2_5': 5.729, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '12-03-2022', 'time': '11:30', 'secs_since': 271779, 'time_since': '3 days', 'status': 'red'}","{'pm10': {'start': '2022-03-11 11:01:00', 'end': '2022-03-12 11:00:00', 'value': 9.92, 'num_readings': 96, 'percentage_capture': 100}, 'pm2_5': {'start': '2022-03-11 11:01:00', 'end': '2022-03-12 11:00:00', 'value': 6.72, 'num_readings': 96, 'percentage_capture': 100}}",57234,0,329066696.0,2399.0,2022-03-12 11:30:00,12.61,5.729,,,,,12-03-2022,11:30,271779.0,3 days,red
9,2009,Station 67,"Macroom, Co. Cork",51.904843,-8.95249,EPA-67,EPA-67,0000-00-00,25,330237561.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330237561, 'monitor_id': 2009, 'project_id': 2399, 'recorded_at': '2022-03-15 14:00:00', 'pm10': 12.35, 'pm2_5': 4.689, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '14:00', 'secs_since': 3579, 'time_since': '59 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 29.44, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 22.22, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}}",65813,2,330237561.0,2399.0,2022-03-15 14:00:00,12.35,4.689,,,,,15-03-2022,14:00,3579.0,59 mins,green
